,gene_name,Python_coef,aod_coef,coef_diff,Python_intercept,aod_intercept,intercept_diff,Python_phi,aod_phi,phi_diff,Python_NLL,aod_NLL,NLL_diff
10,ZFAND6,0.0997975916929495,0.100285491663199,0.0004878999702495057,3.5621510547791475,3.56216454417285,1.3489393702492691e-05,0.3089786903181493,0.308941863927443,3.682639070629046e-05,1452.5020961386313,1452.5021184696402,-2.233100894954987e-05
11,ZFAND2B,-0.1023971764438544,-0.102711445410953,0.0003142689670986021,4.134607906160211,4.13478138988883,0.0001734837286191393,0.358379003226758,0.358334803814253,4.419941250499715e-05,602.1389544756543,602.138956323912,-1.8482577388567734e-06
12,ZEB2,0.2996587003644934,0.299613026636,4.567372849340057e-05,1.5863992212672708,1.58627771414053,0.00012150712674086073,0.270478598785401,0.270762230565695,0.0002836317802940025,2312.583161421371,2312.583193607641,-3.218626989109907e-05
13,ZDHHC2,0.7600351092970377,0.760189043470776,0.00015393417373832374,2.295433671100318,2.29506713667409,0.00036653442622824883,0.9999999237060546,0.999999920502915,3.2031396424159198e-09,99.84065503160642,99.84065604551222,-1.0139058019831282e-06
14,ZC3H4,0.6066517004726242,0.606587140126297,6.456034632718044e-05,2.8378442644191413,2.83771873452893,0.0001255298902114177,0.5777293167114275,0.578056386388513,0.00032706967708551193,71.79558517874841,71.79558573521793,-5.564695158000177e-07
15,ZBTB7A,0.3288036178395149,0.328396285800185,0.0004073320393299107,0.046317456110669,0.0466784573922475,0.0003610012815784963,0.8338379669189481,0.83399133612551,0.00015336920656194852,718.9786250540224,718.9786347324712,-9.678448805061635e-06
16,ZBTB18,0.4418194999849082,0.434932115417137,0.006887384567771215,0.3566701262768233,0.367967299646021,0.011297173369197666,0.9999999618530272,0.999999929947692,3.190533515162741e-08,58.95863462283727,58.95927904169997,-0.0006444188626986147
17,YWHAZ,0.1698880932374526,0.170063591813329,0.00017549857587639828,5.085397130965795,5.0853762638568,2.0867108995403783e-05,0.0335437728881837,0.0335313594757414,1.2413412442298377e-05,2845.845103320393,2845.8451046419505,-1.3215576473157853e-06
18,YIF1B,-0.0477445095374393,-0.0494123727198833,0.001667863182444003,3.0349533599077345,3.03575311044415,0.0007997505364154556,0.3787393972635279,0.378201572302833,0.0005378249606948771,1501.4949066849429,1501.4950890726154,-0.00018238767256661959
19,WHRN,0.5731795027476982,0.57297592879782,0.00020357394987824406,1.4327483269044634,1.43314584115818,0.00039751425371647997,0.3173044433593758,0.316952990173829,0.0003514531855468017,442.1624930767577,442.1625037979829,-1.0721225180532201e-05
20,WDR81,0.7686238716998859,0.768466616428228,0.00015725527165788566,1.5040995758984108,1.50440125407743,0.0003016781790192713,0.9999999618530272,0.999999735145161,2.2670786614664706e-07,87.77678176078568,87.77678295272709,-1.1919414077965484e-06
21,WDR66,0.0312114451761107,0.0319816047733354,0.0007701595972246997,3.0445505700624294,3.04386258174451,0.0006879883179191637,0.0001562500000001,6.939293710726e-08,0.00015618060706299274,15.670464771303331,15.670328201768088,0.00013656953524332494
22,WDR45B,-1.8323920095742896,-1.8318803383967,0.0005116711775896565,7.57288301736356,7.57243224887978,0.0004507684837804504,0.6274314143210669,0.62761920887371,0.00018779455264317235,83.49699210127665,83.49699235601007,-2.5473342191162374e-07
23,WDR34,0.0558114961123214,0.0557286013355464,8.289477677499851e-05,4.822586742933366,4.82249662004958,9.012288378595912e-05,0.1118150634765625,0.111689264979545,0.0001257984970175069,176.37925081147444,176.37925165672755,-8.452531119473861e-07
24,VSIR,0.1850295066163735,0.184726104315001,0.0003034023013724907,6.65860036649532,6.65864335819438,4.299169905941369e-05,0.1266483850479126,0.126630240197599,1.814485031359503e-05,156.9692852690493,156.96928568040366,-4.1135436390504765e-07
25,VSIG10,0.0668859975674637,0.0666514620904615,0.00023453547700220956,1.8311756872939933,1.83152241802128,0.0003467307272866371,0.8507080526232746,0.850826459332757,0.00011840670948237708,225.81225901992337,225.8122609734896,-1.953566226120529e-06
26,VPS26B,-0.4163702877094662,-0.416196750934342,0.00017353677512421672,5.436394630997058,5.43605291142034,0.00034171957671791375,0.4201994634568703,0.420035676625354,0.00016378683151629936,116.78747729030916,116.78747784896828,-5.58659124294536e-07
27,VPS13D,-1.333404674457366,-1.33356093299263,0.00015625853526390898,5.225906928817138,5.22631901071897,0.00041208190183184,0.4435538330078138,0.443091894351288,0.00046193865652582877,112.43773731150756,112.43773902564897,-1.7141414048182924e-06
28,VNN2,-0.5341465521835218,-0.534411909869263,0.00026535768574120766,1.6676976791345055,1.66798442329857,0.0002867441640646007,0.5463882071390764,0.5463576096506,3.0597488476447054e-05,2180.754419923732,2180.754428404338,-8.480606084049214e-06
29,VMP1,0.1033226872061208,0.103876242894581,0.0005535556884602028,2.014041836731656,2.01376272936665,0.0002791073650061371,0.2310397338867192,0.23130949497446,0.0002697610877407941,3003.1722719821173,3003.172323312549,-5.1330431688256795e-05
30,VIPR1,-0.1922099016758937,-0.192390359574208,0.0001804578983143068,1.8655713367172693,1.86565174430471,8.040758744076726e-05,0.8142201309204129,0.814124301872804,9.582904760885302e-05,169.1988492171804,169.19884948321456,-2.6603416358739196e-07
31,VAT1,0.0693027180383914,0.0690462747573264,0.0002564432810649997,4.47514591758271,4.47527174941158,0.0001258318288703819,0.2879364756345756,0.288190312217794,0.0002538365832184253,176.45392758600627,176.45392834010912,-7.541028423929674e-07
32,UXS1,0.4714486243859681,0.47349501997521,0.0020463955892419117,3.085949936235528,3.08481718004519,0.0011327561903380357,0.9999999904632568,0.999999971745791,1.87174657995115e-08,137.9538075203401,137.95382508768188,-1.7567341785706958e-05
33,UTRN,-0.3080738066804007,-0.308114403305017,4.0596624616306975e-05,4.185680743432262,4.18554141633457,0.00013932709769193252,0.6145064156651516,0.614381271666905,0.00012514399824659073,692.5865830125656,692.5865867319827,-3.7194171227383777e-06
34,USP7,1.460370070655398,,,-1.386275755290399,,,0.1075,0.1,0.007499999999999993,21.19846323896128,,
35,USP22,0.0269251065482232,0.0270218709133244,9.676436510119846e-05,4.695541551679172,4.69534142347219,0.0002001282069823418,0.3555595439672479,0.35538265184873,0.00017689211851790176,304.8887896425609,304.8887914884924,-1.8459315356267325e-06
